id,hic_lab_or,hic_tp_pct,hic_tp_cat,hic_tp_num,hic_p_tn,hic_np_tn,hic_pp_tn,area_ha,id_pk,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6,area_m2
148471,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,2577.674999989999833,840135,14200_100,1150_100,2,,,,,2579.440
147752,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,326.784999998173419,840081,14200_100,1150_100,2,,,,,327.041
148495,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,218015.524999999965075,840103,14200_100,1150_100,2,,,,,218164.502
147925,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,528.749999993946403,840134,14200_100,1150_100,2,,,,,529.163
136570,"1150_100,14200_50","1150_100,1420_50","1150*,1420",2,1,1,0,456.514999996145548,840143,1150_100,14200_50,2,,,,,456.873
148446,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,779.950000001106105,840215,14200_100,1150_100,2,,,,,780.560
136848,"1150_100,2210_12","1150_100,2210_12","1150*,2210",2,1,1,1,31922.694999999999709,840194,1150_100,2210_12,2,,,,,31947.650
20437,"13100_100,1150_100","1310_100,1150_100","1310,1150*",2,1,1,0,2725.360000010000022,840195,13100_100,1150_100,2,,,,,2727.476
9255,"14200_100,1150_100","1420_100,1150_100","1420,1150*",2,1,1,0,305.550000000133878,840198,14200_100,1150_100,2,,,,,305.789
148457,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,249.204999997448169,840229,14200_100,1150_100,2,,,,,249.374
136858,"1150_100,2250_100","1150_100,2250_100","1150*,2250*",2,2,0,0,434.654999998711276,840317,1150_100,2250_100,2,,,,,398.516
35828,1150_100,1150_100,1150*,1,1,0,0,6857.954999990000033,840235,1150_100,,1,,,,,6863.274
34697,"13100_100,1150_100","1150_100,1310_100","1150*,1310",2,1,1,0,4342.000000000000000,840244,13100_100,1150_100,2,,,,,4345.373
34129,"1150_100,14200_50","1150_100,1420_50","1150*,1420",2,1,1,0,232.484999999779973,840263,1150_100,14200_50,2,,,,,232.667
148467,"14200_100,1150_100","1150_100,1420_100","1150*,1420",2,1,1,0,4255.909999999999854,840280,14200_100,1150_100,2,,,,,4259.234
136875,"1150_100,72100_100","1150_100,7210_100","1150*,7210*",2,2,0,0,25071.044999999998254,840290,1150_100,72100_100,2,,,,,25091.102
747863,"72100_100,1150_100","1150_100,7210_100","1150*,7210*",2,2,0,0,48101.069999999999709,840300,72100_100,1150_100,2,,,,,48139.553
136873,"1150_100,62201_72","1150_100,6220_72","1150*,6220*",2,2,0,0,35658.379999999997381,840302,1150_100,62201_72,2,,,,,35683.065
170041,"2250_100,1150_100,14200_1","1150_100,1420_1,2250_100","1150*,1420,2250*",3,2,1,0,3622.585000019999825,840314,2250_100,1150_100,3,14200_1,,,,3625.426
136859,"1150_100,2250_100,14200_1","2250_100,1420_1,1150_100","2250*,1420,1150*",3,2,1,0,3304.799999989999833,840315,1150_100,2250_100,3,14200_1,,,,3307.393
170040,"2250_100,1150_100,14200_1","1150_100,1420_1,2250_100","1150*,1420,2250*",3,2,1,0,3089.729999990000124,840320,2250_100,1150_100,3,14200_1,,,,3092.154
804559,"92D00_70,14101_20,15101_10","1510_10,1410_20,92D0_70","1510*,1410,92D0",3,1,2,0,2994.635000000000218,840338,92D00_70,14101_20,3,15101_10,,,,2996.934
141561,"14101_100,15101_100,1430_20","1510_100,1430_20,1410_100","1510*,1430,1410",3,1,2,0,65524.210000099999888,840342,14101_100,15101_100,3,1430_20,,,,65575.808
141548,"14101_100,1430_55,15101_25,14201_5","1430_55,1510_25,1410_100,1420_5","1430,1510*,1410,1420",4,1,3,0,1693.365000000000009,840355,14101_100,1430_55,4,15101_25,14201_5,,,1694.665
173121,"22600_25,1430_5,15100_5,2230_5,14200_1","1430_5,2260_25,2230_5,1420_1,1510_5","1430,2260,2230,1420,1510*",5,1,4,2,19264.825000100001489,840412,22600_25,1430_5,5,15100_5,2230_5,14200_1,,1583.877
141544,"14101_100,1430_55,15101_25,14201_5","1510_25,1420_5,1430_55,1410_100","1510*,1420,1430,1410",4,1,3,0,2246.929999999999836,840394,14101_100,1430_55,4,15101_25,14201_5,,,2248.658
141546,"14101_100,1430_55,15101_25,14201_5","1430_55,1420_5,1410_100,1510_25","1430,1420,1410,1510*",4,1,3,0,406.484999999494732,840494,14101_100,1430_55,4,15101_25,14201_5,,,406.797
161231,"15100_100,1430_60,22600_25,2230_5","1430_60,1510_100,2230_5,2260_25","1430,1510*,2230,2260",4,1,3,2,1267.450000000000045,840485,15100_100,1430_60,4,22600_25,2230_5,,,1268.464
141547,"14101_100,1430_55,15101_25,14201_5","1420_5,1410_100,1510_25,1430_55","1420,1410,1510*,1430",4,1,3,0,1588.720000000000027,840504,14101_100,1430_55,4,15101_25,14201_5,,,1589.948
160286,"1430_75,15100_25","1510_25,1430_75","1510*,1430",2,1,1,0,11666.260000000000218,840543,1430_75,15100_25,2,,,,,11674.322
141542,"14101_100,1430_44,15101_25,14201_5","1510_25,1410_100,1430_44,1420_5","1510*,1410,1430,1420",4,1,3,0,139.105000003984884,840569,14101_100,1430_44,4,15101_25,14201_5,,,139.212
801814,"92D00_30,1430_20,15100_15","1430_20,1510_15,92D0_30","1430,1510*,92D0",3,1,2,0,13819.454999999999927,840577,92D00_30,1430_20,3,15100_15,,,,13828.995
141557,"14101_100,15101_100","1410_100,1510_100","1410,1510*",2,1,1,0,16248.799999999999272,840616,14101_100,15101_100,2,,,,,16261.594
157867,"14201_75,15101_20,14101_5","1420_75,1410_5,1510_20","1420,1410,1510*",3,1,2,0,81109.759999999994761,840610,14201_75,15101_20,3,14101_5,,,,1756.038
141742,"14101_40,1430_30,15101_20,14201_5","1510_20,1410_40,1420_5,1430_30","1510*,1410,1420,1430",4,1,3,0,1541.309999999999945,840673,14101_40,1430_30,4,15101_20,14201_5,,,1542.494
162388,"15101_50,14101_20","1410_20,1510_50","1410,1510*",2,1,1,0,778.640000000109694,840704,15101_50,14101_20,2,,,,,779.238
162389,"15101_50,14101_20","1410_20,1510_50","1410,1510*",2,1,1,0,1409.684999999999945,840760,15101_50,14101_20,2,,,,,1410.767
161238,15100_25,1510_25,1510*,1,1,0,0,50041.915000000000873,840712,15100_25,,1,,,,,14991.571
37293,"14201_50,14101_30,15101_10","1510_10,1410_30,1420_50","1510*,1410,1420",3,1,2,0,1643.339999999999918,840718,14201_50,14101_30,3,15101_10,,,,1644.602
141523,"14101_100,1430_55,15101_50,14201_5","1510_50,1430_55,1410_100,1420_5","1510*,1430,1410,1420",4,1,3,0,4266.415000009999858,841336,14101_100,1430_55,4,15101_50,14201_5,,,4269.690
161240,15100_25,1510_25,1510*,1,1,0,0,10134.260000000000218,841789,15100_25,,1,,,,,10139.671
161338,"15101_100,14101_100,13101_10","1310_10,1410_100,1510_100","1310,1410,1510*",3,1,2,0,11504.350000000000364,840870,15101_100,14101_100,3,13101_10,,,,11513.400
36230,"14101_100,1430_55,15101_25,14201_5","1420_5,1410_100,1510_25,1430_55","1420,1410,1510*,1430",4,1,3,0,1044.400000000000091,840853,14101_100,1430_55,4,15101_25,14201_5,,,1045.202
162057,"15101_25,14201_5","1420_5,1510_25","1420,1510*",2,1,1,0,19956.169999999998254,840855,15101_25,14201_5,2,,,,,19971.869
